ITEM_ID,Total Time Spent (s),Number of Interactions
2064.0,12.088999999999032,3
2072.0,1.9329999999999927,1
2074.0,14.150000000000091,2
2076.0,8.583000000000538,1
2077.0,4.216999999999644,1
2082.0,7.699999999998909,1
2085.0,20.48199999999997,1
2093.0,1.431999999999789,1
2095.0,15.233000000000176,2
2096.0,72.29000000000087,3
2098.0,8.959999999999127,1
2099.0,66.58500000000049,3
2104.0,1.5670000000000073,1
2110.0,76.46600000000217,5
2111.0,22.816999999998643,5
2112.0,46.039999999996326,4
2113.0,78.76999999999862,3
2114.0,61.19800000000032,6
2115.0,29.515000000000327,1
2116.0,92.3439999999996,1
2117.0,3.8659999999999854,1
2119.0,21.66500000000042,1
2120.0,10.619000000001051,2
2121.0,16.83299999999872,2
2122.0,5.720000000001164,2
2123.0,15.332000000000336,2
2124.0,7.809000000000196,1
2125.0,5.289999999999964,1
2126.0,6.600000000000364,1
2146.0,25.31799999999885,2
2151.0,6.443000000000211,1
2152.0,3.705999999999676,1
